Agent_ID,Age,PublicTransport_Jobs,essential_worker,Adherence_to_Intervention,VillTownName,H_Lat,H_Lon,HHID,school_id,WorkPlaceID
157,25,0,0,0.6,some_village,0.21984434,0.8816644,2472,9,0
158,8,0,0,0.9,some_village,0.9333617,0.94539136,1604,3,0
159,57,0,0,0.8,some_village,0.4938978,0.6259342,198,0,37
160,76,0,0,0.7,some_village,0.9968373,0.44470763,1374,0,36
161,20,0,0,0.6,some_village,0.084044695,0.02534306,843,8,0
162,60,0,0,0.6,some_village,0.4819044,0.16758281,715,0,26
163,43,0,0,0.7,some_village,0.025793135,0.2661547,715,0,1
164,6,0,0,0.9,some_village,0.36330968,0.31635696,1894,3,0
165,23,1,0,0.6,some_village,0.021258354,0.9878743,2481,4,0
166,71,0,0,0.7,some_village,0.75115347,0.6444162,56,0,32
167,67,1,0,0.8,some_village,0.969732,0.014964819,2290,0,3
168,53,0,0,0.7,some_village,0.06903994,0.6513189,1929,0,2
169,6,0,0,0.7,some_village,0.005471766,0.80149096,672,10,0
170,34,0,0,0.5,some_village,0.62028056,0.2249006,809,0,22
171,46,1,0,0.8,some_village,0.23497474,0.19590735,478,0,40
172,71,0,0,0.1,some_village,0.17936999,0.3075595,2477,0,15
173,73,0,0,0.7,some_village,0.54007214,0.66227716,2183,0,10
174,27,0,0,0.4,some_village,0.16393512,0.29330456,858,10,0
175,70,1,0,0.9,some_village,0.9197271,0.030956328,1025,0,40
176,43,0,0,1.0,some_village,0.492369,0.8969891,1024,0,1
177,37,1,0,1.0,some_village,0.4342717,0.65961975,607,0,5
178,16,1,0,0.6,some_village,0.45893943,0.5124113,2411,3,0
179,23,1,0,0.6,some_village,0.79598975,0.6686199,616,10,0
180,59,0,0,0.7,some_village,0.6199656,0.60171336,2383,0,6
181,38,0,0,0.6,some_village,0.64272857,0.2808864,1787,0,21
182,31,1,1,0.6,some_village,0.64301205,0.7571745,79,0,44
183,66,0,0,0.5,some_village,0.47468168,0.64521766,592,0,29
184,56,0,0,0.6,some_village,0.20074075,0.2860145,67,0,11
185,60,0,0,0.9,some_village,0.41258538,0.3885777,113,0,9
186,61,0,0,0.8,some_village,0.90250945,0.25928736,380,0,48
187,73,1,0,0.7,some_village,0.47562248,0.60761845,827,0,46
188,79,1,1,0.5,some_village,0.8367577,0.7030548,2022,0,27
189,71,1,0,0.9,some_village,0.16861188,0.3503818,807,0,30
190,12,0,0,0.6,some_village,0.3001762,0.71998763,255,9,0
191,34,1,0,0.7,some_village,0.8758411,0.99133444,20,0,40
192,63,0,1,0.7,some_village,0.76892793,0.4322754,2063,0,49
193,30,0,0,0.7,some_village,0.50499403,0.7028742,1448,0,7
194,9,1,0,0.7,some_village,0.6533062,0.049359918,2354,5,0
195,7,0,0,0.8,some_village,0.37832475,0.08311927,2008,1,0
196,63,0,0,0.9,some_village,0.93195397,0.7622691,2059,0,42
197,56,0,1,0.9,some_village,0.55882317,0.361871,750,0,11
198,55,0,0,1.0,some_village,0.07320374,0.9854458,501,0,26
199,69,1,0,0.6,some_village,0.9726661,0.3593788,1126,0,30
200,49,0,0,0.8,some_village,0.21859002,0.9016731,960,0,5
201,35,0,0,1.0,some_village,0.70693845,0.4526875,1013,0,16
202,75,0,0,0.6,some_village,0.28699017,0.32865602,573,0,27
203,74,0,0,0.8,some_village,0.311705,0.5902312,61,0,45
204,73,0,0,0.7,some_village,0.6106212,0.8059891,1971,0,19
205,51,1,0,0.7,some_village,0.46466112,0.13477951,917,0,31
206,54,0,0,0.6,some_village,0.6319479,0.25099874,945,0,46
207,29,1,0,0.8,some_village,0.10578692,0.5050309,836,10,0
208,59,0,1,0.8,some_village,0.9788226,0.87832636,461,0,33
209,52,1,0,1.0,some_village,0.8177982,0.3164816,1913,0,17
210,24,0,0,0.7,some_village,0.5143855,0.71566314,1235,5,0
211,71,0,0,0.7,some_village,0.9511077,0.4624735,831,0,40
212,6,1,0,0.9,some_village,0.9276877,0.83018637,667,10,0
213,15,1,0,0.5,some_village,0.35895795,0.84265214,607,4,0
214,76,0,0,0.8,some_village,0.53541374,0.4000615,275,0,44
215,67,0,0,0.7,some_village,0.39117646,0.7523902,66,0,38
216,56,0,0,0.7,some_village,0.49547058,0.7224757,2040,0,22
217,67,0,0,0.9,some_village,0.6781025,0.01159668,872,0,8
218,46,1,0,0.5,some_village,0.23022991,0.64818275,423,0,50
219,73,0,0,1.0,some_village,0.7590474,0.058622003,2220,0,8
220,10,0,0,0.9,some_village,0.026224494,0.7179264,1338,10,0
221,44,0,0,0.8,some_village,0.37982893,0.46615672,214,0,15
222,7,0,0,1.0,some_village,0.8281782,0.24154174,2419,6,0
223,79,0,0,0.5,some_village,0.89950716,0.058887184,518,0,21
224,74,1,0,0.8,some_village,0.38918817,0.15924585,1533,0,17
225,32,0,0,1.0,some_village,0.05576074,0.6339067,661,0,25
226,13,0,0,0.8,some_village,0.6239182,0.35559314,2460,7,0
227,66,1,0,0.8,some_village,0.6761789,0.031054735,958,0,13
228,58,1,0,0.7,some_village,0.51878375,0.9628402,583,0,27
229,26,1,0,0.6,some_village,0.67836297,0.4990571,955,3,0
230,30,1,1,0.9,some_village,0.7222648,0.56989616,1916,0,32
231,15,1,0,0.6,some_village,0.25620914,0.50045764,335,2,0
232,53,0,1,0.7,some_village,0.49914843,0.16009343,1532,0,40
233,69,1,0,0.7,some_village,0.32643598,0.6186451,2135,0,31
234,64,1,0,0.5,some_village,0.26246387,0.02198875,1736,0,16
235,9,0,0,0.6,some_village,0.98050356,0.38233072,1698,7,0
236,73,0,0,0.8,some_village,0.97318375,0.28215504,2233,0,26
237,50,0,1,0.8,some_village,0.9614735,0.99854547,1837,0,33
238,32,0,1,0.9,some_village,0.07059574,0.33828777,1794,0,50
239,70,0,1,0.7,some_village,0.6893808,0.71526825,2103,0,25
240,18,1,0,0.7,some_village,0.42162865,0.92302597,365,9,0
241,41,0,0,0.1,some_village,0.6024103,0.7237144,352,0,33
242,65,0,1,0.8,some_village,0.25592744,0.42039716,760,0,45
243,16,0,0,1.0,some_village,0.7788867,0.21979713,2093,4,0
244,18,0,0,0.9,some_village,0.6522726,0.44158512,1617,7,0
245,55,0,0,0.1,some_village,0.79055095,0.97570133,1738,0,16
246,32,0,0,0.7,some_village,0.4932838,0.90342665,2318,0,43
247,74,0,0,0.8,some_village,0.519984,0.04418564,1920,0,18
248,27,0,0,0.9,some_village,0.1370539,0.54462737,729,7,0
249,26,0,0,0.9,some_village,0.31347907,0.5176073,1226,8,0
250,60,1,1,1.0,some_village,0.68302935,0.8528864,1388,0,10
251,41,0,0,0.5,some_village,0.06508452,0.5069915,694,0,32
252,12,0,0,0.9,some_village,0.42824656,0.0152964,2279,10,0
253,65,0,0,0.5,some_village,0.26615942,0.2983325,656,0,46
254,45,0,1,0.9,some_village,0.9057826,0.47101617,363,0,31
255,7,0,0,0.9,some_village,0.46592242,0.49863058,1421,2,0
256,51,0,0,1.0,some_village,0.67963773,0.028693855,132,0,46
257,16,0,0,0.9,some_village,0.88418466,0.05062771,1901,3,0
258,20,1,0,0.5,some_village,0.91851884,0.40910357,145,7,0
259,18,1,0,0.8,some_village,0.3915341,0.6509742,1053,7,0
260,50,0,0,0.5,some_village,0.76732945,0.81714946,2431,0,1
261,65,0,0,0.8,some_village,0.8425066,0.70256346,1004,0,12
262,5,1,0,0.8,some_village,0.19313473,0.3529675,356,10,0
263,22,0,0,0.6,some_village,0.10848355,0.16931021,2153,1,0
264,9,0,0,0.9,some_village,0.7505983,0.6501564,1386,8,0
265,19,0,0,0.8,some_village,0.25030988,0.58000875,2486,8,0
266,76,0,0,0.8,some_village,0.44868636,0.3030281,1964,0,16
267,58,0,1,1.0,some_village,0.64104825,0.43153787,77,0,37
268,8,0,0,0.8,some_village,0.77823913,0.15354747,756,9,0
269,68,0,1,0.8,some_village,0.10960102,0.8823419,2466,0,24
270,69,0,1,0.7,some_village,0.56281936,0.9894732,1598,0,24
271,77,0,0,0.3,some_village,0.44580638,0.37423396,543,0,12
272,59,1,0,0.8,some_village,0.1465053,0.76036745,716,0,14
273,33,1,1,0.6,some_village,0.11736131,0.48439616,1094,0,40
274,32,0,0,1.0,some_village,0.24383396,0.27487546,318,0,32
275,53,1,0,0.3,some_village,0.7356543,0.93800896,1414,0,37
276,30,1,0,0.1,some_village,0.8601922,0.057444334,456,0,13
277,11,1,0,0.6,some_village,0.51012754,0.58991057,1167,7,0
278,59,0,0,0.7,some_village,0.52530974,0.31469202,449,0,40
279,56,1,0,0.7,some_village,0.17146933,0.07984251,1468,0,6
280,32,0,1,0.9,some_village,0.559197,0.73838514,649,0,32
281,71,0,0,0.7,some_village,0.66341954,0.025799513,807,0,4
282,17,1,0,0.4,some_village,0.7853931,0.7404792,2131,5,0
283,47,1,1,0.7,some_village,0.97117925,0.99990976,1475,0,9
284,22,1,0,0.7,some_village,0.97603804,0.35440725,128,8,0
285,41,0,0,0.9,some_village,0.028447568,0.83027685,2345,0,1
286,43,0,0,0.5,some_village,0.21925515,0.48717195,1555,0,28
287,20,1,0,0.8,some_village,0.77419186,0.7320043,1396,6,0
288,22,0,0,1.0,some_village,0.86363834,0.011646152,1879,4,0
289,7,0,0,0.6,some_village,0.6630641,0.033834517,788,6,0
290,61,0,0,0.9,some_village,0.5597964,0.51813656,2277,0,7
291,62,0,0,0.7,some_village,0.036782324,0.06006354,1893,0,48
292,12,0,0,0.5,some_village,0.91583437,0.06521934,202,1,0
293,7,0,0,0.9,some_village,0.7120543,0.1483919,1470,2,0
294,40,0,0,0.9,some_village,0.5569598,0.06204176,906,0,26
295,40,0,0,0.8,some_village,0.3896562,0.8986921,1253,0,6
296,74,1,0,0.7,some_village,0.036378443,0.78852105,1373,0,43
297,53,1,0,0.9,some_village,0.6622555,0.71476877,2349,0,46
298,40,0,1,1.0,some_village,0.8552517,0.25232464,1644,0,45
299,70,1,0,0.9,some_village,0.83606386,0.9938652,1945,0,41
300,21,0,0,0.8,some_village,0.3571499,0.83876175,1918,1,0
301,42,0,0,0.5,some_village,0.0220837,0.5413849,2340,0,10
302,18,0,0,0.5,some_village,0.08015418,0.39659166,1257,1,0
303,46,1,0,0.6,some_village,0.9060926,0.41155845,1870,0,15
304,21,0,0,0.5,some_village,0.2869689,0.8880103,509,8,0
305,29,0,0,0.9,some_village,0.6670445,0.72661495,49,4,0
306,9,0,0,0.8,some_village,0.47975248,0.52306795,117,7,0
307,57,0,0,0.7,some_village,0.83804446,0.7602774,1826,0,41
308,60,1,0,0.9,some_village,0.56785226,0.031862795,980,0,26
309,35,0,1,0.9,some_village,0.9237515,0.4487279,1634,0,5
310,42,1,0,1.0,some_village,0.12715864,0.2827195,87,0,25
311,6,1,0,0.6,some_village,0.4695701,0.9030895,1644,5,0
312,39,1,0,0.5,some_village,0.46300077,0.9531291,69,0,20
313,29,0,0,0.8,some_village,0.037008286,0.099399626,1154,6,0
314,50,0,0,0.8,some_village,0.28465194,0.6383122,1489,0,18
315,34,1,0,0.1,some_village,0.8054398,0.27962035,1532,0,36
316,56,1,1,0.5,some_village,0.486575,0.4350258,1746,0,17
317,13,0,0,0.6,some_village,0.59327805,0.78762096,2437,10,0
318,24,0,0,0.9,some_village,0.18950713,0.3823037,1057,9,0
319,60,1,0,0.7,some_village,0.9713157,0.592743,1980,0,22
320,62,0,0,0.1,some_village,0.45249492,0.85521877,707,0,33
321,62,1,0,0.7,some_village,0.09126562,0.3553267,2016,0,13
322,47,0,1,0.8,some_village,0.46666616,0.7439364,308,0,16
323,63,0,0,0.8,some_village,0.28494352,0.024879038,121,0,38
324,76,1,0,0.8,some_village,0.9360853,0.4798172,1972,0,9
325,12,0,0,0.6,some_village,0.44974893,0.9622233,55,1,0
326,68,0,0,0.7,some_village,0.7319619,0.47230667,1618,0,49
327,59,1,0,1.0,some_village,0.17659754,0.18663639,811,0,22
328,9,1,0,0.5,some_village,0.68647236,0.41613764,999,5,0
329,47,0,0,0.6,some_village,0.9220464,0.8373053,1145,0,48
330,74,0,1,0.7,some_village,0.6924295,0.42484933,164,0,32
331,48,0,0,0.9,some_village,0.59290826,0.88675904,280,0,38
332,11,0,0,0.7,some_village,0.14488721,0.8972424,1606,6,0
333,20,0,0,0.9,some_village,0.9283366,0.60673887,528,7,0
334,45,0,0,0.4,some_village,0.8479632,0.28840154,2190,0,29
335,23,0,0,0.6,some_village,0.5852498,0.45923334,931,4,0
336,48,0,0,0.9,some_village,0.71945876,0.89459026,1853,0,38
337,40,0,0,0.9,some_village,0.32976866,0.58939314,1078,0,6
338,21,0,0,0.6,some_village,0.1520111,0.03512329,1801,10,0
339,10,0,0,0.9,some_village,0.87484777,0.8268519,708,10,0
340,75,1,0,0.7,some_village,0.5143341,0.13834888,733,0,22
341,29,0,0,0.8,some_village,0.12034941,6.2161684E-4,651,4,0
342,76,0,0,0.9,some_village,0.017241836,0.033967137,2453,0,49
343,35,1,0,0.9,some_village,0.9883829,0.16751373,108,0,33
344,11,1,0,0.6,some_village,0.5894375,0.5907285,749,10,0
345,22,0,0,0.6,some_village,0.33883798,0.9095222,872,1,0
346,7,1,0,0.6,some_village,0.12120825,0.3776902,1044,8,0
347,40,0,0,0.7,some_village,0.42454326,0.98975694,1761,0,13
348,32,1,0,0.6,some_village,0.20949966,0.5925623,1659,0,16
349,62,1,0,0.6,some_village,0.7558857,0.99062914,1537,0,39
350,44,0,0,1.0,some_village,0.38267642,0.37271893,142,0,16
351,47,0,0,0.8,some_village,0.3231389,0.17223072,556,0,36
352,70,0,0,0.9,some_village,0.37581497,0.7045048,508,0,21
353,78,1,0,0.6,some_village,0.45346117,0.18689865,375,0,23
354,32,1,0,0.9,some_village,0.051461697,0.28363246,1362,0,45
355,15,0,0,0.5,some_village,0.46277362,0.6026951,1883,6,0
356,21,1,0,1.0,some_village,0.57402784,0.8747956,1773,6,0
357,68,0,0,0.7,some_village,0.07814437,0.6551714,717,0,40
358,61,1,0,0.7,some_village,0.5154049,0.49074417,1499,0,15
359,68,1,0,0.6,some_village,0.86209756,0.23676854,657,0,35
360,20,1,0,0.6,some_village,0.67114776,0.7818277,2214,4,0
361,51,0,0,0.9,some_village,0.18339455,0.095428586,2046,0,40
362,20,1,0,0.6,some_village,0.5372516,0.8609848,1840,7,0
363,56,0,1,1.0,some_village,0.14824635,0.22019082,1708,0,4
364,35,0,0,0.7,some_village,0.6072603,0.41847223,2097,0,31
365,49,1,0,0.8,some_village,0.19900864,0.65244853,2312,0,23
366,74,1,0,0.9,some_village,0.43906003,0.94291466,2033,0,8
367,5,0,0,0.1,some_village,0.25232923,0.6651899,411,10,0
368,22,0,0,0.9,some_village,0.23858571,0.08771092,1896,6,0
369,51,0,1,0.1,some_village,0.12710553,0.005696237,1704,0,28
370,38,1,0,0.7,some_village,0.9125953,0.5341474,1938,0,46
371,41,1,0,0.3,some_village,0.60736924,0.35458678,1958,0,19
372,31,0,0,0.8,some_village,0.08425617,0.16782957,1444,0,1
373,78,0,0,0.8,some_village,0.78983295,0.11402297,1790,0,38
374,57,1,1,0.6,some_village,0.8292338,0.8013333,2054,0,40
375,75,0,1,0.8,some_village,0.7287184,0.36408722,2135,0,20
376,72,1,1,0.7,some_village,0.8472189,0.9604315,293,0,20
377,54,0,0,0.9,some_village,0.10437912,0.515085,696,0,30
378,64,0,0,0.9,some_village,0.42013466,0.3145113,2237,0,40
379,22,1,0,0.5,some_village,0.8020303,0.43775862,102,2,0
380,56,1,0,0.8,some_village,0.17181641,0.2946812,462,0,33
381,70,0,1,0.9,some_village,0.7782335,0.262452,2163,0,18
382,28,0,0,0.8,some_village,0.97046053,0.7793727,537,1,0
383,20,1,0,0.9,some_village,0.8361974,0.44295716,845,8,0
384,6,1,0,0.6,some_village,0.7488221,0.08989912,2166,3,0
385,79,1,1,1.0,some_village,0.38938868,0.8560884,266,0,49
386,39,1,0,0.6,some_village,0.26884615,0.5401112,1351,0,16
387,17,0,0,0.9,some_village,0.6730216,0.33914983,641,4,0
388,12,0,0,0.9,some_village,0.080435455,0.8601061,1246,5,0
389,78,1,0,0.8,some_village,0.6084027,0.79372203,75,0,21
390,61,0,0,0.0,some_village,0.5319382,0.982951,1057,0,26
391,51,1,0,0.8,some_village,0.0096747875,0.27171332,2173,0,44
392,15,1,0,0.7,some_village,0.29637772,0.26085603,1663,5,0
393,64,0,0,0.7,some_village,0.55511284,0.62364334,1471,0,29
394,73,0,0,0.8,some_village,0.6637805,0.20326364,1688,0,23
395,52,1,0,0.6,some_village,0.96449727,0.32647133,163,0,9
396,27,0,0,0.7,some_village,0.06073785,0.7761528,1001,3,0
397,14,1,0,0.8,some_village,0.5223293,0.19676322,1662,6,0
398,27,0,0,0.9,some_village,0.4880829,0.20253098,783,5,0
399,20,0,0,0.4,some_village,0.92893,0.6793146,1189,8,0
400,24,0,0,0.1,some_village,0.15165931,0.24584502,890,4,0
401,52,1,0,0.7,some_village,0.004512608,0.7372407,1464,0,47
